LocationID,Borough,Zone,service_zone,longitude,latitude
1,EWR,Newark Airport,EWR,-74.1740016,40.6918302
2,Queens,Jamaica Bay,Boro Zone,-73.8312998,40.6167462
3,Bronx,Allerton/Pelham Gardens,Boro Zone,-73.8474218,40.8644737
4,Manhattan,Alphabet City,Yellow Zone,-73.9769683,40.7237521
5,Staten Island,Arden Heights,Boro Zone,-74.1884846,40.5526588
6,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,-74.0717702,40.6003244
7,Queens,Astoria,Boro Zone,-73.9196943,40.7614926
8,Queens,Astoria Park,Boro Zone,-73.9230863,40.7785586
9,Queens,Auburndale,Boro Zone,-73.7879488,40.7510344
10,Queens,Baisley Park,Boro Zone,-73.7909868,40.6789531
11,Brooklyn,Bath Beach,Boro Zone,-74.0074878,40.6042727
12,Manhattan,Battery Park,Yellow Zone,-74.0155635,40.7029458
13,Manhattan,Battery Park City,Yellow Zone,-74.0160793,40.7120379
14,Brooklyn,Bay Ridge,Boro Zone,-74.0298925,40.6248337
15,Queens,Bay Terrace/Fort Totten,Boro Zone,-73.7859729,40.783333
16,Queens,Bayside,Boro Zone,-73.7734211,40.7627375
17,Brooklyn,Bedford,Boro Zone,-73.9499048,40.691507
18,Bronx,Bedford Park,Boro Zone,-73.8901838,40.8676822
19,Queens,Bellerose,Boro Zone,-73.7266554,40.7354865
20,Bronx,Belmont,Boro Zone,-73.8858674,40.8577794
21,Brooklyn,Bensonhurst East,Boro Zone,-73.9835378,40.6014291
22,Brooklyn,Bensonhurst West,Boro Zone,-73.9952586,40.6122177
23,Staten Island,Bloomfield/Emerson Hill,Boro Zone,-74.1708851,40.6064482
24,Manhattan,Bloomingdale,Yellow Zone,-73.9654794,40.8019705
25,Brooklyn,Boerum Hill,Boro Zone,-73.9861137,40.6856337
26,Brooklyn,Borough Park,Boro Zone,-73.9886606,40.6309493
27,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone,-73.906912,40.5591348
28,Queens,Briarwood/Jamaica Hills,Boro Zone,-73.8087292,40.7115965
29,Brooklyn,Brighton Beach,Boro Zone,-73.9612166,40.5809218
30,Queens,Broad Channel,Boro Zone,-73.8219275,40.6036869
31,Bronx,Bronx Park,Boro Zone,-73.875476,40.8577457
32,Bronx,Bronxdale,Boro Zone,-73.8649009,40.864002
33,Brooklyn,Brooklyn Heights,Boro Zone,-73.9952501,40.6957981
